GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 33.18  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 5.857845E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 5.886806E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 8.207658E-6 8.207658E-13 8.207658E+1 1.000000E-2 1.000000E+1
2.000000E-7 1.048999E-5 2.097998E-12 5.244994E+1 1.000000E-2 1.000000E+1
3.000000E-7 1.270226E-5 3.810677E-12 4.234085E+1 1.000000E-2 1.000000E+1
4.000000E-7 1.496184E-5 5.984734E-12 3.740459E+1 1.000000E-2 1.000000E+1
5.000000E-7 1.727803E-5 8.639017E-12 3.455607E+1 1.000000E-2 1.000000E+1
6.000000E-7 1.950918E-5 1.170551E-11 3.251529E+1 1.000000E-2 1.000000E+1
7.000000E-7 2.183468E-5 1.528428E-11 3.119240E+1 1.000000E-2 1.000000E+1
8.000000E-7 2.412115E-5 1.929692E-11 3.015143E+1 1.000000E-2 1.000000E+1
9.000000E-7 2.639443E-5 2.375499E-11 2.932714E+1 1.000000E-2 1.000000E+1
1.000000E-6 2.864625E-5 2.864625E-11 2.864625E+1 1.000000E-2 1.000000E+1
1.100000E-6 3.091592E-5 3.400751E-11 2.810538E+1 1.000000E-2 1.000000E+1
1.200000E-6 3.315662E-5 3.978795E-11 2.763052E+1 1.000000E-2 1.000000E+1
1.300000E-6 3.551936E-5 4.617516E-11 2.732258E+1 1.000000E-2 1.000000E+1
1.400000E-6 3.775877E-5 5.286228E-11 2.697055E+1 1.000000E-2 1.000000E+1
1.500000E-6 4.006127E-5 6.009190E-11 2.670751E+1 1.000000E-2 1.000000E+1
1.600000E-6 4.233248E-5 6.773197E-11 2.645780E+1 1.000000E-2 1.000000E+1
1.700000E-6 4.460240E-5 7.582408E-11 2.623671E+1 1.000000E-2 1.000000E+1
1.800000E-6 4.683638E-5 8.430549E-11 2.602021E+1 1.000000E-2 1.000000E+1
1.900000E-6 4.918904E-5 9.345917E-11 2.588897E+1 1.000000E-2 1.000000E+1
