GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 33.96  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 5.758786E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 5.730605E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 8.046786E-6 8.046786E-13 8.046786E+1 1.000000E-2 1.000000E+1
2.000000E-7 1.031591E-5 2.063183E-12 5.157957E+1 1.000000E-2 1.000000E+1
3.000000E-7 1.262356E-5 3.787069E-12 4.207854E+1 1.000000E-2 1.000000E+1
4.000000E-7 1.497982E-5 5.991927E-12 3.744954E+1 1.000000E-2 1.000000E+1
5.000000E-7 1.727325E-5 8.636623E-12 3.454649E+1 1.000000E-2 1.000000E+1
6.000000E-7 1.958710E-5 1.175226E-11 3.264517E+1 1.000000E-2 1.000000E+1
7.000000E-7 2.190768E-5 1.533537E-11 3.129668E+1 1.000000E-2 1.000000E+1
8.000000E-7 2.423368E-5 1.938694E-11 3.029210E+1 1.000000E-2 1.000000E+1
9.000000E-7 2.651522E-5 2.386370E-11 2.946135E+1 1.000000E-2 1.000000E+1
1.000000E-6 2.883062E-5 2.883062E-11 2.883062E+1 1.000000E-2 1.000000E+1
1.100000E-6 3.111500E-5 3.422651E-11 2.828637E+1 1.000000E-2 1.000000E+1
1.200000E-6 3.349608E-5 4.019529E-11 2.791340E+1 1.000000E-2 1.000000E+1
1.300000E-6 3.579494E-5 4.653342E-11 2.753457E+1 1.000000E-2 1.000000E+1
1.400000E-6 3.806613E-5 5.329258E-11 2.719009E+1 1.000000E-2 1.000000E+1
1.500000E-6 4.039627E-5 6.059441E-11 2.693085E+1 1.000000E-2 1.000000E+1
1.600000E-6 4.271400E-5 6.834241E-11 2.669625E+1 1.000000E-2 1.000000E+1
1.700000E-6 4.504906E-5 7.658340E-11 2.649945E+1 1.000000E-2 1.000000E+1
1.800000E-6 4.735645E-5 8.524161E-11 2.630914E+1 1.000000E-2 1.000000E+1
1.900000E-6 4.962764E-5 9.429252E-11 2.611981E+1 1.000000E-2 1.000000E+1
