GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 33.81  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 5.530505E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 5.540849E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 7.852895E-6 7.852895E-13 7.852895E+1 1.000000E-2 1.000000E+1
2.000000E-7 1.017916E-5 2.035832E-12 5.089580E+1 1.000000E-2 1.000000E+1
3.000000E-7 1.248009E-5 3.744027E-12 4.160030E+1 1.000000E-2 1.000000E+1
4.000000E-7 1.476215E-5 5.904859E-12 3.690537E+1 1.000000E-2 1.000000E+1
5.000000E-7 1.712874E-5 8.564372E-12 3.425749E+1 1.000000E-2 1.000000E+1
6.000000E-7 1.934255E-5 1.160553E-11 3.223758E+1 1.000000E-2 1.000000E+1
7.000000E-7 2.167554E-5 1.517287E-11 3.096505E+1 1.000000E-2 1.000000E+1
8.000000E-7 2.398706E-5 1.918965E-11 2.998383E+1 1.000000E-2 1.000000E+1
9.000000E-7 2.622440E-5 2.360196E-11 2.913822E+1 1.000000E-2 1.000000E+1
1.000000E-6 2.860185E-5 2.860185E-11 2.860185E+1 1.000000E-2 1.000000E+1
1.100000E-6 3.083530E-5 3.391883E-11 2.803209E+1 1.000000E-2 1.000000E+1
1.200000E-6 3.314114E-5 3.976937E-11 2.761762E+1 1.000000E-2 1.000000E+1
1.300000E-6 3.548964E-5 4.613654E-11 2.729973E+1 1.000000E-2 1.000000E+1
1.400000E-6 3.776498E-5 5.287097E-11 2.697498E+1 1.000000E-2 1.000000E+1
1.500000E-6 4.003411E-5 6.005116E-11 2.668941E+1 1.000000E-2 1.000000E+1
1.600000E-6 4.238183E-5 6.781093E-11 2.648864E+1 1.000000E-2 1.000000E+1
1.700000E-6 4.460520E-5 7.582884E-11 2.623835E+1 1.000000E-2 1.000000E+1
1.800000E-6 4.693690E-5 8.448641E-11 2.607605E+1 1.000000E-2 1.000000E+1
1.900000E-6 4.927118E-5 9.361523E-11 2.593220E+1 1.000000E-2 1.000000E+1
