GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 33.53  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 -1.188204E-6 -0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 -1.218453E-6 -0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 3.216184E-7 3.216184E-14 3.216184E+0 1.000000E-2 1.000000E+1
2.000000E-7 1.807402E-6 3.614804E-13 9.037011E+0 1.000000E-2 1.000000E+1
3.000000E-7 3.343083E-6 1.002925E-12 1.114361E+1 1.000000E-2 1.000000E+1
4.000000E-7 4.841793E-6 1.936717E-12 1.210448E+1 1.000000E-2 1.000000E+1
5.000000E-7 6.345674E-6 3.172837E-12 1.269135E+1 1.000000E-2 1.000000E+1
6.000000E-7 7.839473E-6 4.703684E-12 1.306579E+1 1.000000E-2 1.000000E+1
7.000000E-7 9.362744E-6 6.553921E-12 1.337535E+1 1.000000E-2 1.000000E+1
8.000000E-7 1.086378E-5 8.691025E-12 1.357973E+1 1.000000E-2 1.000000E+1
9.000000E-7 1.238033E-5 1.114230E-11 1.375592E+1 1.000000E-2 1.000000E+1
1.000000E-6 1.386146E-5 1.386146E-11 1.386146E+1 1.000000E-2 1.000000E+1
1.100000E-6 1.538913E-5 1.692804E-11 1.399011E+1 1.000000E-2 1.000000E+1
1.200000E-6 1.688784E-5 2.026540E-11 1.407320E+1 1.000000E-2 1.000000E+1
1.300000E-6 1.841886E-5 2.394452E-11 1.416836E+1 1.000000E-2 1.000000E+1
1.400000E-6 1.991680E-5 2.788352E-11 1.422628E+1 1.000000E-2 1.000000E+1
1.500000E-6 2.143542E-5 3.215312E-11 1.429028E+1 1.000000E-2 1.000000E+1
1.600000E-6 2.291086E-5 3.665737E-11 1.431929E+1 1.000000E-2 1.000000E+1
1.700000E-6 2.442870E-5 4.152879E-11 1.436982E+1 1.000000E-2 1.000000E+1
1.800000E-6 2.596205E-5 4.673170E-11 1.442336E+1 1.000000E-2 1.000000E+1
1.900000E-6 2.745301E-5 5.216072E-11 1.444895E+1 1.000000E-2 1.000000E+1
