GPIB1::10::INSTR
List Sweep
Sweep_type: LIST   
Abort_on_compliance: TRUE 

Autorange: yes   
Man/SelectedRange: 100mV   
EnableDigitalFilter: no  
FilterType: Moving   
FilterCount 10.00000   
FilterWindow(Percent): 1.00000E-2   
EnableAnalogFilter: no    
NPLCs: 2.000000

Internal_Temperature_K2128A_[°C]: 35.16  
TCAL_K2128A_[°C]: 30.38











Current Voltage Power Resistance SourceDelay VoltageLimit
A V W Ohm s V

0.000000E+0 4.763431E-6 0.000000E+0 0.000000E+0 5.000000E+0 1.000000E+1
0.000000E+0 4.732152E-6 0.000000E+0 0.000000E+0 1.000000E+0 1.000000E+1
1.000000E-7 7.064101E-6 7.064101E-13 7.064101E+1 1.000000E-2 1.000000E+1
2.000000E-7 9.329607E-6 1.865921E-12 4.664803E+1 1.000000E-2 1.000000E+1
3.000000E-7 1.158762E-5 3.476285E-12 3.862538E+1 1.000000E-2 1.000000E+1
4.000000E-7 1.384873E-5 5.539491E-12 3.462182E+1 1.000000E-2 1.000000E+1
5.000000E-7 1.608528E-5 8.042639E-12 3.217055E+1 1.000000E-2 1.000000E+1
6.000000E-7 1.834484E-5 1.100690E-11 3.057473E+1 1.000000E-2 1.000000E+1
7.000000E-7 2.066205E-5 1.446343E-11 2.951721E+1 1.000000E-2 1.000000E+1
8.000000E-7 2.288464E-5 1.830771E-11 2.860580E+1 1.000000E-2 1.000000E+1
9.000000E-7 2.514497E-5 2.263048E-11 2.793886E+1 1.000000E-2 1.000000E+1
1.000000E-6 2.740919E-5 2.740919E-11 2.740919E+1 1.000000E-2 1.000000E+1
1.100000E-6 2.966978E-5 3.263676E-11 2.697253E+1 1.000000E-2 1.000000E+1
1.200000E-6 3.195261E-5 3.834313E-11 2.662717E+1 1.000000E-2 1.000000E+1
1.300000E-6 3.425224E-5 4.452791E-11 2.634788E+1 1.000000E-2 1.000000E+1
1.400000E-6 3.648026E-5 5.107236E-11 2.605733E+1 1.000000E-2 1.000000E+1
1.500000E-6 3.876128E-5 5.814192E-11 2.584085E+1 1.000000E-2 1.000000E+1
1.600000E-6 4.096525E-5 6.554441E-11 2.560328E+1 1.000000E-2 1.000000E+1
1.700000E-6 4.328143E-5 7.357843E-11 2.545967E+1 1.000000E-2 1.000000E+1
1.800000E-6 4.553013E-5 8.195424E-11 2.529452E+1 1.000000E-2 1.000000E+1
1.900000E-6 4.779512E-5 9.081073E-11 2.515533E+1 1.000000E-2 1.000000E+1
